TestSet,Experiment,Mode,Fusion,Feature,PTM,EER (%),MinDCF,Used Pairs,Missing Pairs
test_5s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p2_fn0p003_en0p001_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.416036132097828,0.804736805535203,9895,0
test_5s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p2_s32,3,film,mfcc_pitch,wav2vec2,4.497193068768414,0.812681919801996,9895,0
test_5s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s32,3,film,mfcc_pitch,wav2vec2,4.578350005439,0.7204773874173207,9895,0
test_5s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p4_fn0p003_en0p001_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.6256407841515275,0.8248852623020506,9895,0
test_5s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30,3,film,mfcc_pitch,wav2vec2,4.659506942109591,0.8171355349930909,9895,0
test_5s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p4_fn0p005_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.706797720822113,0.819436655493386,9895,0
test_5s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.733951568402944,0.8245380113800828,9895,0
test_5s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p2_s30,3,film,mfcc_pitch,wav2vec2,4.740663878780176,0.8192412685355547,9895,0
test_5s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p3_fn0p003_en0p001_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.787954657492699,0.8178374461739109,9895,0
test_5s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_A_augOff_ap0p0_fn0p0_en0p0_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.828533125827994,0.8263432551489125,9895,0
test_5s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_A_augOn_ap0p3_fn0p003_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.828533125827994,0.8297731744025089,9895,0
test_5s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p3_fn0p005_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.862399283786052,0.8272224964591604,9895,0
