TestSet,Experiment,Mode,Fusion,Feature,PTM,EER (%),MinDCF,Used Pairs,Missing Pairs
test_3s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p2_s30,3,film,mfcc_pitch,wav2vec2,3.4693067396316195,0.6302989519246001,9895,0
test_3s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p2_fn0p003_en0p001_m0p25_s30,3,film,mfcc_pitch,wav2vec2,3.5098852079669145,0.6100528016788357,9895,0
test_3s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p3_fn0p003_en0p001_m0p25_s30,3,film,mfcc_pitch,wav2vec2,3.516597518344147,0.5937824467211039,9895,0
test_3s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_A_augOn_ap0p3_fn0p003_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,3.5233098287213798,0.6030443373621455,9895,0
test_3s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_A_augOff_ap0p0_fn0p0_en0p0_m0p25_s30,3,film,mfcc_pitch,wav2vec2,3.5233098287213798,0.6327190608868563,9895,0
test_3s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p4_fn0p003_en0p001_m0p25_s30,3,film,mfcc_pitch,wav2vec2,3.597754455014733,0.6150703497327762,9895,0
test_3s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p3_fn0p005_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,3.597754455014733,0.6359174795258067,9895,0
test_3s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s32,3,film,mfcc_pitch,wav2vec2,3.6044667653919658,0.6408924376136582,9895,0
test_3s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p2_fn0p005_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,3.631620612972796,0.6301503261151026,9895,0
test_3s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p2_s32,3,film,mfcc_pitch,wav2vec2,3.645045233727256,0.6493153717835115,9895,0
test_3s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_C_augOn_ap0p3_fn0p003_en0p002_m0p18_s30,3,film,mfcc_pitch,wav2vec2,3.753356017978672,0.6535013727031477,9895,0
test_3s,grid_film_raw_w2v2_mfccpitch_bdrop0p05_aug_aam_B_augOn_ap0p4_fn0p005_en0p002_m0p25_s30,3,film,mfcc_pitch,wav2vec2,4.044117606702957,0.6383746351724853,9895,0
